track_id,track_name,artist_id,artist_name,album_id,album_name,release_date
7KXN6j2viym11XbfJxWCsP,Another You,74xeHqz5Ap8ZHq69TkxI0r,BONNIE X CLYDE,1k69zllxEsg08KtHqBtvyU,Another You,2022-04-08
7bdiaLVLFIJjNvuCaWhsRg,Hot in It,2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,7gEBenmf8fCWnPOTpdjQ8c,Pop Today,2022-12-02
1WkMMavIMc4JZ8cfMmxHkI,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",31TPClRtHm23RisEBtV3X7,Justin Timberlake,65ayND23IInUPHJKsaAqe7,TROLLS (Original Motion Picture Soundtrack),2016-09-23
62FP0vBpxbgKo2dpopKnle,Loser,6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,7LpqHVqxlrAp7ykCtIqa6N,Freshly Squeezed,2022-12-02
5cTxzxhyanUBDkAK0A7pSe,Red Lights,2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,4ZFinvQLnTMtGhqTOhkn0s,Electro Fest Mood,2022-12-02
6VxVTeBoDRfZbvO3hmCIny,Bad Habits - Joel Corry Remix,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,5XpFtsqbC2ddje9DvttHxz,Friday Feeling,2022-11-25
6fhG2KJgwO7CrNflRaRmvp,Dandelions - slowed + reverb,2WzaAvm2bBCf4pEhyuDgCY,Ruth B.,0W26SC6AcPdqk1Hz5hfWnj,Dandelions (slowed + reverb),2021-08-27
5jSfKTSGeRp8ir8qaobdcJ,Zombies,73sIBHcqh3Z3NyqHKZ7FOL,Childish Gambino,7caGY3YPOchIO8xLvTKWN4,"""Awaken, My Love!""",2016-12-02
1PckUlxKqWQs3RlWXVBLw3,About Damn Time,56oDRnqbIiwx4mymNEv7dS,Lizzo,4JApkbiesQxv5drdEZRlZC,About Damn Time,2022-04-14
1EHUQesfVKwbthtNcpBi9g,WITHOUT YOU (with Miley Cyrus),2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI,6Aqt69riJ3JPLxIEI8EkzT,WITHOUT YOU (with Miley Cyrus),2021-04-30
2zhk0kypGeOPsaaZcjyc14,Burning House,5WRElKaZsn1tGnrgmJVAeO,Cam,5KlzsMAsw5NujrJVQtjQAB,Untamed,2015-12-11
1xAF6SFi9kKStkpoIQZKeb,Crazy What Love Can Do,1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,406i3trlzTbKcWQkIbzDQz,Afraid to Feel - Top Dance Hits,2022-11-25
36xxq7VDZZsGwARsn6Clo7,Living Single,0c173mlxpT3dSFRgMO8XPh,Big Sean,02pV9mCJ2PJNPVWyOFTv37,Living Single,2016-12-17
0so9M11oaYlt4CigwonDKr,Toofan (Jhankar Beats),3gBKY0y3dFFVRqicLnVZYz,Alka Yagnik,3EhQoiZxSLmdG69EV4R9ZZ,Vishwatma - Jhankar Beats,2022-11-25
6WmIyn2fx1PKQ0XDpYj4VR,Love It If We Made It,3mIj9lX2MWuHmhNCA7LSCW,The 1975,6PWXKiakqhI17mTYM4y6oY,A Brief Inquiry Into Online Relationships,2018-11-30
09IStsImFySgyp0pIQdqAc,The Middle,2qxJFvFYMEDqd7ui6kSAcq,Zedd,7nEiwcUSwycvC77kZ9ub7c,The Middle,2018-01-23
47cQCF21TczFSmGfpd7c07,EX,7jZMxhsB8djyIbYmoiJSTs,Kiana Ledé,3mt812NnyqmyhujjNNT1oP,Selfless,2018-07-13
6Xgq7MvZiet0hVi3KaDSgJ,Holy (feat. Chance The Rapper),1uNFoZAHBGtllmzznpCI3s,Justin Bieber,5dGWwsZ9iB2Xc3UKR0gif2,Justice,2021-03-19
02UJ1sCanP94fS2MdsWafh,PERSIAN RUGS,2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR,3CPGfq4GT326ZiecqegH2t,PARTYPACK,2020-10-16
0BqWEdlRUTCsYlLO5jMItB,You Might Not Like Her,5dtPlx7yKOo7KdZGyrfFIq,Maddie Zahm,7ueHZMvIaONsn3w56NMMtF,You Might Not Like Her,2022-06-15
3boBAE0hHMflKEYEqLDfuH,Born This Way,1HY2Jd0NmPuamShAr6KMms,Lady Gaga,4tQMFmozyQwWiTf9lWSqje,Ultimate Party Classics Pop,2022-12-01
2HOKZbbLssXUQ7rzntxvcj,PURRITO APA,2LRoIwlKmHjgvigdNGBHNo,Feid,5Tudoe61XMaF2ea9hSLzyl,Tusa Navideña,2022-12-02
6BXCXOJGvuhks2xDxj5opi,Not Easy,3NPpFNZtSTHheNBaWC82rB,X Ambassadors,4K6Zqkm3dZQncMmunPIl9O,Not Easy,2016-10-21
7vS3Y0IKjde7Xg85LWIEdP,Problem,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,6EVYTRG1drKdO8OnIQBeEj,My Everything (Deluxe),2014-08-25
3XvLo8aIA3LFfDRdDzgcvR,Best Day Of My Life - Single Version,0MlOPi3zIDMVrfA9R04Fe3,American Authors,5QBNugYv15wT1A3PRgJFnw,World Championship Qatar 2022,2022-12-01
4P7LVHDbzn7aI6wWRh5AHc,You Belong With Me (Taylor’s Version),06HL4z0CvFAxyc27GXpf02,Taylor Swift,0XCoR1j5Sa2su9uDS9AScR,Fearless (Taylor’s Version): The I Remember What You Said Last Night Chapter,2021-05-24
0WtQVX9nb0B4OL3P2wK9PS,The Christmas Song,7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,0uBTKeAcysf1fPXGQKkYN6,Driving Home for Christmas,2022-12-01
55Am8neGJkdj2ADaM3aw5H,Train Wreck,4IWBUUAFIplrNtaOHcJPRM,James Arthur,7oiJYvEJHsmYtrgviAVIBD,Back from the Edge,2016-10-28
5JycxhApZmzbA4xSwvqh6k,All To Me,4fxd5Ee7UefO4CUXgwJ7IP,Giveon,1otOJAtgvO5VCBL4Gykrrd,When It's All Said And Done... Take Time,2021-03-12
5w7wuzMzsDer96KqxafeRK,COPYCAT,6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,7fRrTyKvE4Skh93v97gtcU,dont smile at me,2017-12-22
6NyCTXt6FORByQyLzG0T6a,Fa La La,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,4pDI9wYS8FsMMCaRWRNkPC,Def Jam Christmas,2022-12-02
6ET9kf9riLETWs9lePUEAI,Slow Burn,70kkdajctXSbqSMJbQO424,Kacey Musgraves,7f6xPqyaolTiziKf5R5Z0c,Golden Hour,2018-03-30
31swab24TD27FuYp62SWg6,Wildfire,4TnGh5PKbSjpYqpIdlW5nz,Monsta X,6C3GKy7qCRTqqPqq04AKcu,SHAPE OF LOVE,2022-04-26
6omW6DQqbdBwJ4NKAcyAng,Five More Hours,6VD4UEUPvtsemqD3mmTqCR,Deorro,10SD9Mtq2r7FRFtVQ8y19P,Five More Hours (Deorro x Chris Brown),2015-03-03
1yJ6OQ2Xe7E2W4jqKYQf9h,Sacrifice - Niiko x SWAE Remix,64M6ah0SkkRsnPGtGiRAbb,Bebe Rexha,0fv4FQvMBKFjZyvbIBIosa,Sun Goes Down - Modern Dance Pop Classics,2022-11-25
4JpazKcfOhbwqZrsYhzHee,Jackie and Wilson,2FXC3k01G6Gw61bmprjgqS,Hozier,4Pv7m8D82A1Xun7xNCKZjJ,Hozier (Expanded Edition),2014-09-19
7szuecWAPwGoV1e5vGu8tl,In Your Eyes,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,4yP0hdKOZPNshxUOjY0cZj,After Hours,2020-03-20
7vRriwrloYVaoAe3a9wJHe,"i hate u, i love u (feat. olivia o'brien)",3iri9nBFs9e4wN7PLIetAw,gnash,3L0H4RjVXpEkwfDgi3XOdf,us,2016-03-25
73W5aXorr5vxrySFcoZqIN,Renegade,7gXy60xRcwYujBFoYHnR2O,Big Red Machine,3YbMxdapL6mvSQjosFkc0T,How Long Do You Think It's Gonna Last?,2021-08-27
3GYlZ7tbxLOxe6ewMNVTkw,TV,6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,1YPWxMpQEC8kcOuefgXbhj,Guitar Songs,2022-07-21
5lAnYvAIkSDNXqfo7DyFUm,Ain't Shit,5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,1nAQbHeOWTfQzbOoFrvndW,Planet Her,2021-06-25
3sa06xVNmLLYIxdNNmVQN8,Where Did You Go? (feat. MNEK),4Q6nIcaBED8qUel8bBx6Cr,Jax Jones,5vSLX6JljaSXuRY2Wqi6xL,Where Did You Go (feat. MNEK),2022-02-04
3lBRNqXjPp2j3JMTCXDTNO,Best Thing I Never Had,6vWDO969PvNqNYHIOW5v0m,Beyoncé,1gIC63gC3B7o7FfpPACZQJ,4,2011-06-24
3vmsnZF4KPLjbDgZEqwTdL,Life Must Go On,3ApUX1o6oSz321MMECyIYd,Quinn XCII,7zGPSFi3LOIC1L5Dj0oEBx,From Michigan With Love,2019-02-15
0PgT8DiJmpqTnf9SnFnHM0,Stars Will Fall,5AyEXCtu3xnnsTGCo4RVZh,Duster,0PQKxvYXBokFo7oxsKmwXq,Capsule Losing Contact,2019-03-22
0jdny0dhgjUwoIp5GkqEaA,Praying,6LqNN22kT3074XbTVUrhzX,Kesha,1IYVB8NfiRqhdZlTxjspNh,Rainbow,2017-08-11
3VjnBTzqU7mQcz6awz3vH0,"Young, Wild & Free",7hJcb9fa4alzcOq3EaNPoG,Snoop Dogg,6Umeg7AFAOjm7njbZsXTmA,New Years Eve in NZ 2023,2022-12-02
0zFaYp60OflIUeQGQFwkrK,Hurtless,3QSQFmccmX81fWCUSPTS7y,Dean Lewis,27mQ8oeRdHb1UBXfM3m5ZZ,Jahresrückblick 2022,2022-12-01
4SJRgLsuBKTEBEl9n6JsNu,Ungodly Hour,0AsThoR4KZSVktALiNcQwW,Chloe x Halle,1ReoUTt497nUg3u1ERgYwS,Ungodly Hour,2020-06-03
4C8BE3t81w312DkR750OnL,roll the windows up,6TIYQ3jFPwQSRmorSezPxX,Machine Gun Kelly,38kBJGfjhkTGqBs5EqoaMN,lockdown sessions,2022-03-02
22nyEAEM29tcBRhukR089b,Icon,0xOeVMOz2fVg5BJY3N6akT,Jaden,4IFpj2jyRcugt1yzH82m3E,SYRE,2017-11-17
0oWraSo5ASJ0h1BEagTyEw,Hold My Hand,1HY2Jd0NmPuamShAr6KMms,Lady Gaga,4o7oZoaZrwElXdNXfBXsqe,"Hold My Hand (Music From The Motion Picture ""Top Gun: Maverick"")",2022-05-03
5b2bu6yyATC1zMXDGScJ2d,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,3UEEPh5wsdhP7SKC31yvhu,Listen (Deluxe),2014-11-24
4CAWi0wy9ChtcHSXZ4HYbO,Where Them Girls At,1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,6Umeg7AFAOjm7njbZsXTmA,New Years Eve in NZ 2023,2022-12-02
2Co0IjcLTSHMtodwD4gzfg,I Bet on Losing Dogs,2uYWxilOVlUdk4oV9DvwqK,Mitski,4Coa8Eb9SzjrkwWEom963Q,Puberty 2,2016-06-17
0jkzxxDG8z3Y5OmfNl1VM0,Homesick,2RQXRUsr4IW1f3mKyKsy4B,Noah Kahan,50ZenUP4O2Q5eCy2NRNvuz,Stick Season,2022-10-14
6qNB2ChCVPepl5ZjVJJTUW,STUPID (feat. Yung Baby Tate),3PyJHH2wyfQK3WZrk9rpmP,Ashnikko,5eKuModdAdZRmc51241r4D,"Hi, It's Me",2019-07-12
6ie2Bw3xLj2JcGowOlcMhb,Green Light,163tK9Wjr9P9DmM0AVK7lm,Lorde,2B87zXm9bOWvAJdkJBTpzF,Melodrama,2017-06-16
7FpBQ067pHB67deawpbbcY,Body Like A Back Road,2kucQ9jQwuD8jWdtR9Ef38,Sam Hunt,1xRcR4iSouBrfVhuqFkPAJ,SOUTHSIDE,2020-04-03
4esOae7i4rqTbAu9o5Pxco,Girl on Fire,3DiDSECUqqY1AuBP8qtaIa,Alicia Keys,3zZSz5VOYSu0jE4MkPCOvN,Girl on Fire (Remixes) - EP,2012-11-18
3O8G8eVrhfXTGttyQ1xVuq,CASE 143,2dIgFjalVxs4ThymZ67YCE,Stray Kids,0T6hYH0UyDjNraWZk2mZWi,MAXIDENT,2022-10-07
25oOaleife6E2MIKmFkPvg,Relationship (feat. Future),50co4Is1HCEo8bhOyUWKpn,Young Thug,51KZKzPd3OQT1r46a55VTt,Beautiful Thugger Girls,2017-06-16
2ixsaeFioXJmMgkkbd4uj1,Budapest,2ysnwxxNtSgbb9t1m2Ur4j,George Ezra,6mcMKGEgukjyiR5IKElQ2E,Wanted on Voyage (Expanded Edition),2014-06-30
5BYl3SodS3rGmafWXRWmB7,The Great War,06HL4z0CvFAxyc27GXpf02,Taylor Swift,4894htPwC6zoiuTqUQwn4I,Midnights (3am Edition),2022-10-21
3NtTKjbIK879ragqZCq3gC,"When Will My Life Begin? - From ""Tangled"" / Soundtrack Version",2LJxr7Pt3JnP60eLxwbDOu,Mandy Moore,6qykGE5x584duyLVYcnojE,Disney Summer Songs,2021-05-28
1c8gk2PeTE04A1pIDH9YMk,Rolling in the Deep,4dpARuHxo51G3z768sgnrY,Adele,0Lg1uZvI312TPqxNWShFXL,21,2011-01-24
1yvArCvZLTHiawRdWKSAWj,I’m a Mess (with YUNGBLUD),0p4nmQO2msCgU4IF37Wi3j,Avril Lavigne,7kpLyQOiE4j9bNCZhKvWBr,I’m a Mess (with YUNGBLUD),2022-11-03
0BqWEdlRUTCsYlLO5jMItB,You Might Not Like Her,5dtPlx7yKOo7KdZGyrfFIq,Maddie Zahm,7ueHZMvIaONsn3w56NMMtF,You Might Not Like Her,2022-06-15
1nq3Ge4t3exWMTbbNFQVbT,New Rules,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,25etx1SLt9WTsElGqFOeRI,Sounds of the 2000's,2022-12-02
